Date,Actual pH,Predicted pH
2021-06-27,7.624281739899619,7.6663995
2021-06-28,7.624281739899619,7.6706834
2021-06-28,7.624281739899619,7.6744056
2021-06-28,7.624281739899619,7.618461
2018-04-11,7.650394953481495,6.6758633
2021-06-28,7.624281739899619,7.6331677
2021-06-29,7.624281739899619,7.670942
2021-06-30,7.624281739899619,7.6624904
2021-07-01,7.624281739899619,7.6742673
2018-04-11,7.71344732567119,8.208222
2021-07-02,7.624281739899619,7.67207
2021-07-02,7.624281739899619,7.6675315
2021-07-02,7.624281739899619,7.6684833
2021-07-02,7.624281739899619,7.6122117
2021-07-05,7.624281739899619,7.662869
2021-07-04,7.624281739899619,7.647045
2021-07-03,7.624281739899619,7.6109796
2018-04-11,7.654566024318231,6.7360854
2021-07-06,7.624281739899619,7.656635
2021-07-07,7.624281739899619,7.6823688
2021-07-09,7.624281739899619,7.628677
2021-07-10,7.624281739899619,7.6778646
2021-07-08,7.624281739899619,7.6434097
2021-07-11,7.624281739899619,7.6029696
2021-07-12,7.624281739899619,7.664326
2018-04-11,7.463498208739101,14.501952
2021-07-13,7.624281739899619,7.6033187
2021-07-14,7.624281739899619,7.605656
2021-07-13,7.624281739899619,7.605656
2021-07-13,7.624281739899619,7.605656
2021-07-13,7.624281739899619,7.605655
2021-07-15,7.624281739899619,7.6271996
2021-07-16,7.624281739899619,7.6771283
2021-07-17,7.624281739899619,7.6771283
2021-07-17,7.624281739899619,7.5961113
2021-07-17,7.624281739899619,7.6196456
2021-07-18,7.624281739899619,7.6247697
2021-07-17,7.624281739899619,7.6111856
2021-07-19,7.624281739899619,7.6130505
2021-07-20,7.624281739899619,7.6814456
2021-07-21,7.624281739899619,7.6814456
2018-04-12,7.683447492349958,8.570207
2018-04-12,7.683447492349958,8.502606
2018-04-12,7.683447492349958,8.598735
2018-04-12,7.683447492349958,8.515048
2021-07-21,7.624281739899619,7.6158013
2021-07-21,7.624281739899619,7.6158013
2021-07-21,7.624281739899619,7.6609488
2021-07-22,7.624281739899619,7.639901
2021-07-23,7.624281739899619,7.622644
2021-07-24,7.624281739899619,7.668341
2021-07-25,7.624281739899619,7.651592
2021-07-25,7.624281739899619,7.6688085
2021-07-25,7.624281739899619,7.622565
2018-04-12,7.744560721605088,10.308245
2021-07-25,7.624281739899619,7.6009
2021-07-26,7.624281739899619,7.5922995
2021-07-27,7.624281739899619,7.6041365
2021-07-28,7.624281739899619,7.665877
2021-07-29,7.624281739899619,7.665877
2021-07-29,7.624281739899619,7.6353536
2021-07-29,7.624281739899619,7.61188
